joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.030739000,0.120398000,0.161587000,0.154045001,-0.160175994,-0.084177002,0.036752999,-0.075383000,-0.281610012,0.121270999,-0.157947004,0.058277000,-0.055066999,1.344845057,1.613348961,1.198747039,1.277837992,-0.185203001,-0.190548003,0.052103002,0.525618017,-1.687684059,-0.504449010,1.391127944,0.014066000,-0.007189000,-0.038530000,0.000000000,0.000000000
0.030875800,0.120429799,0.161472201,0.153749198,-0.159860611,-0.084327400,0.036684602,-0.075277999,-0.280964792,0.121224806,-0.158631593,0.057409000,-0.055083800,1.344880581,1.613293171,1.198720455,1.277796388,-0.185209811,-0.190514803,0.052072600,0.525591016,-1.687361360,-0.504474998,1.391117334,0.014044600,-0.007178199,-0.038531002,0.000000000,0.000000000
0.031797200,0.120462999,0.160356611,0.154568404,-0.160119191,-0.084387600,0.038334601,-0.075330399,-0.281455398,0.121563405,-0.158736601,0.057389997,-0.055104602,1.346941590,1.612132788,1.199698448,1.271650314,-0.187998012,-0.183801785,0.045408189,0.523004651,-1.683166265,-0.504895568,1.388304591,0.006379589,-0.007764001,-0.035923395,0.000000000,0.000000000
0.032088604,0.120465800,0.160265803,0.154445201,-0.160223007,-0.084322602,0.038603198,-0.075479999,-0.282070786,0.121733002,-0.157005996,0.058824200,-0.055113200,1.347439408,1.611809373,1.199960828,1.270116448,-0.188706607,-0.182136402,0.043740202,0.522362411,-1.682039618,-0.504997611,1.387602925,0.004471200,-0.007913200,-0.035273202,0.000000000,0.000000000
0.032733798,0.120439596,0.160383806,0.152887195,-0.159181595,-0.084510595,0.038525600,-0.075375602,-0.281956613,0.121726997,-0.157021001,0.058329403,-0.055154402,1.347422361,1.611723542,1.199980259,1.270069361,-0.188750803,-0.182141811,0.043692399,0.522341013,-1.681677341,-0.505019009,1.387601972,0.004473600,-0.007901400,-0.035275001,0.000000000,0.000000000
0.033798002,0.120336004,0.160479993,0.150447994,-0.157533005,-0.084843002,0.038500998,-0.075199999,-0.281605005,0.121661000,-0.158094004,0.056775000,-0.055202000,1.347412944,1.611644030,1.199993014,1.270019054,-0.188789994,-0.182150006,0.043639999,0.522312999,-1.681313038,-0.505047977,1.387604952,0.004479000,-0.007884000,-0.035273001,0.000000000,0.000000000
0.034338001,0.120327398,0.160615802,0.149116799,-0.156741589,-0.085230798,0.038397603,-0.075202204,-0.281766415,0.121671394,-0.158158004,0.055678800,-0.055261400,1.347408056,1.611548424,1.199998021,1.269952297,-0.188842803,-0.182156801,0.043575197,0.522265017,-1.680868626,-0.505095959,1.387609363,0.004490000,-0.007851000,-0.035271000,0.000000000,0.000000000
0.030083001,0.121819600,0.159563199,0.152705610,-0.158001408,-0.085548997,0.036306601,-0.074034199,-0.282726228,0.121443003,-0.157105193,0.055957001,-0.055767000,1.348996162,1.610190868,1.201318979,1.268777013,-0.199092001,-0.183801994,0.031927001,0.518233001,-1.676784992,-0.505850971,1.388133049,0.006738000,-0.003077000,-0.036566000,0.000000000,0.000000000
0.028807599,0.122018598,0.159382597,0.155294597,-0.159202203,-0.085186802,0.036135800,-0.074024200,-0.282561004,0.121513605,-0.155471802,0.059019998,-0.055774000,1.348991513,1.610108614,1.201330543,1.268776774,-0.199097589,-0.183809802,0.031925797,0.518227220,-1.676555753,-0.505859196,1.388137817,0.006742600,-0.003072400,-0.036562603,0.000000000,0.000000000
0.029260602,0.121944003,0.159512401,0.154192001,-0.158479199,-0.085317194,0.036140598,-0.073916405,-0.282424182,0.121465005,-0.156262606,0.058433004,-0.055788200,1.348990202,1.609997988,1.201344848,1.268776059,-0.199099198,-0.183816001,0.031922199,0.518212557,-1.676239491,-0.505877972,1.388149619,0.006752000,-0.003060800,-0.036554597,0.000000000,0.000000000
