joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-0.050610024,-0.005115010,-0.042890012,0.095419958,-0.004154816,0.075879879,0.001935009,-0.000550039,-0.007080287,0.000000000,-0.004705042,-0.034589972,-0.000865012,0.000470877,-0.002542138,0.000271201,-0.000527501,0.000570342,0.000245124,-0.000619981,-0.000101328,0.007954240,-0.000318885,0.000464916,0.000565010,-0.000124995,0.000319909,0.000000000,0.000000000
0.059004918,-0.003119931,0.027474761,-0.119579583,0.044919923,-0.043249689,0.000180025,0.002105162,0.006219745,-0.002215058,-0.049824640,-0.052999891,-0.000770018,0.000375509,-0.002485514,0.000303984,-0.000375509,0.000530109,0.000214577,-0.000490015,-0.000064075,0.007525086,-0.000259280,0.000473857,0.000514998,-0.000114995,0.000385009,0.000000000,0.000000000
0.063480020,0.001814961,0.042415410,-0.127219781,0.029959902,-0.077589788,-0.001900084,0.000675209,0.004609674,-0.001079775,-0.018774718,-0.014785025,-0.000305008,0.000053644,-0.001159310,0.000143051,-0.000113249,-0.000065193,0.000044703,-0.000120047,-0.000023842,0.003120303,-0.000105798,0.000226498,0.000174972,0.000000006,0.000195019,0.000000000,0.000000000
-0.019779895,0.004239939,-0.005944818,0.037624687,-0.014749914,-0.006495230,-0.002410077,-0.003280118,-0.012424588,0.003260002,0.066269562,0.036824960,-0.000744965,0.000095367,-0.002452731,0.000274181,-0.000494719,-0.000920147,0.000100210,-0.000469992,0.000049174,0.006613135,-0.000146031,0.000447035,0.000520004,-0.000100007,0.000394974,0.000000000,0.000000000
-0.002585072,-0.001745112,-0.010855123,0.000614673,0.007059798,0.003725104,-0.002404954,-0.003275089,-0.014459342,0.001879781,0.041154772,-0.007279962,-0.001025014,0.000089407,-0.003287196,0.000408292,-0.000730157,-0.001360103,0.000135228,-0.000720005,0.000049174,0.009018183,-0.000184774,0.000542402,0.000705011,-0.000160013,0.000494998,0.000000000,0.000000000
0.013460033,-0.004004873,0.001620129,-0.027900189,0.008299947,-0.006559864,-0.001275074,-0.003034994,-0.009419024,-0.000629947,-0.009709969,-0.045539998,-0.000580028,-0.000023842,-0.002110004,0.000354648,-0.000411272,-0.000735000,0.000050291,-0.000435021,-0.000044703,0.005716085,-0.000189245,0.000309944,0.000384985,-0.000075001,0.000265054,0.000000000,0.000000000
-0.018769875,0.003170222,0.004114956,0.038725138,-0.018179789,0.009839982,-0.001890026,-0.001480058,-0.007300079,0.000835024,0.014250353,0.013940036,-0.000314973,-0.000008941,-0.001394749,0.000315905,-0.000229478,-0.000219420,-0.000010058,-0.000249967,-0.000074506,0.003758073,-0.000180304,0.000187755,0.000225008,-0.000024994,0.000189990,0.000000000,0.000000000
-0.017945049,0.004510023,0.006109849,0.036500394,-0.011645257,0.011724979,-0.000749901,0.000059977,0.003284216,0.000560097,0.012130290,0.048115011,-0.000474975,0.000008941,-0.002259016,0.000590086,-0.000354648,-0.000080094,-0.000115484,-0.000455044,-0.000095367,0.006255507,-0.000265241,0.000256300,0.000329991,-0.000075006,0.000325032,0.000000000,0.000000000
0.003934978,0.002149865,0.004814938,-0.010390207,0.008464977,-0.005755201,0.000760052,0.002580136,0.017180294,-0.001359917,-0.026925281,0.027214922,-0.000340026,-0.000029802,-0.001740456,0.000488758,-0.000277162,-0.000075623,-0.000115111,-0.000365032,-0.000074506,0.004824996,-0.000210106,0.000178814,0.000229990,-0.000065000,0.000225101,0.000000000,0.000000000
0.008205045,-0.001865067,-0.002975017,-0.022655353,0.016085431,-0.008425117,-0.001419988,0.004010089,0.017204881,-0.002020225,-0.027025118,-0.003994908,-0.000094995,-0.000247359,-0.001099706,0.000488758,-0.000119209,-0.000100210,-0.000234693,-0.000134949,-0.000134110,0.002798438,-0.000195205,0.000008941,0.000120001,0.000050000,0.000059884,0.000000000,0.000000000
0.005659973,-0.004709885,-0.005990267,-0.016589835,0.014420226,-0.001759827,-0.003200024,0.000944920,0.004709512,-0.000119954,0.002754852,-0.025935005,-0.000074971,-0.000408292,-0.001740456,0.000834465,-0.000143051,0.000109896,-0.000474975,-0.000189990,-0.000195205,0.004497170,-0.000265241,-0.000020862,0.000235019,0.000050000,0.000069942,0.000000000,0.000000000
-0.001610024,0.000455044,0.003059953,0.000895187,0.000299513,0.000729971,-0.003010035,-0.004770048,-0.013744831,0.002340227,0.037229806,-0.026435032,-0.000055041,-0.000381470,-0.001814961,0.000876188,-0.000205636,0.000200421,-0.000549853,-0.000240002,-0.000075996,0.004881620,-0.000150502,-0.000056624,0.000335020,-0.000029994,0.000055041,0.000000000,0.000000000
