root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
0.051954925,0.998614013,-0.998088777,0.052206159,-0.033458002,-0.006678487
0.051767945,0.998623312,-0.998107731,0.052019119,-0.033183217,-0.006750981
0.051767945,0.998623312,-0.998107731,0.052019119,-0.033183217,-0.006750981
0.051576674,0.998629391,-0.998112261,0.051843524,-0.033344001,-0.007188001
0.051576674,0.998629391,-0.998112261,0.051843524,-0.033344001,-0.007188001
0.051383793,0.998640776,-0.998126745,0.051644385,-0.033206511,-0.007037770
0.051383793,0.998640776,-0.998126745,0.051644385,-0.033206511,-0.007037770
0.051030695,0.998654068,-0.998144686,0.051309049,-0.033212163,-0.007582867
0.050914764,0.998659849,-0.998148799,0.051194131,-0.033266768,-0.007601489
0.050914764,0.998659849,-0.998148799,0.051194131,-0.033266768,-0.007601489
0.050785720,0.998663783,-0.998153567,0.051074684,-0.033319987,-0.007878801
0.050846815,0.998656332,-0.998153150,0.051149964,-0.033243008,-0.008332809
0.050846815,0.998656332,-0.998153150,0.051149964,-0.033243008,-0.008332809
0.051066220,0.998647988,-0.998138368,0.051360667,-0.033350747,-0.008031263
0.051066220,0.998647988,-0.998138368,0.051360667,-0.033350747,-0.008031263
0.051223516,0.998637259,-0.998143971,0.051523328,-0.032938197,-0.008317226
0.051223516,0.998637259,-0.998143971,0.051523328,-0.032938197,-0.008317226
0.051463187,0.998623013,-0.998135209,0.051767945,-0.032830101,-0.008501431
0.051441789,0.998625040,-0.998128295,0.051745653,-0.033070594,-0.008398524
0.051441789,0.998625040,-0.998128295,0.051745653,-0.033070594,-0.008398524
0.051923633,0.998601198,-0.998107672,0.052222192,-0.032937810,-0.008269932
0.052298188,0.998576760,-0.998093247,0.052610934,-0.032782551,-0.008750462
0.052298188,0.998576760,-0.998093247,0.052610934,-0.032782551,-0.008750462
0.052427769,0.998575985,-0.998085082,0.052721679,-0.032826617,-0.008152639
0.052427769,0.998575985,-0.998085082,0.052721679,-0.032826617,-0.008152639
0.052643836,0.998566926,-0.998078883,0.052928686,-0.032669064,-0.007914230
0.052866280,0.998556256,-0.998068452,0.053147197,-0.032627296,-0.007802522
0.052866280,0.998556256,-0.998068452,0.053147197,-0.032627296,-0.007802522
0.053278267,0.998534560,-0.998054147,0.053556621,-0.032397643,-0.007784452
0.053278267,0.998534560,-0.998054147,0.053556621,-0.032397643,-0.007784452
0.053767562,0.998506010,-0.998024166,0.054054260,-0.032513093,-0.008004542
0.053767562,0.998506010,-0.998024166,0.054054260,-0.032513093,-0.008004542
0.054013252,0.998491704,-0.998008192,0.054303586,-0.032592870,-0.008090070
0.054249108,0.998480797,-0.997999787,0.054532051,-0.032457825,-0.007896041
0.054249108,0.998480797,-0.997999787,0.054532051,-0.032457825,-0.007896041
0.054251313,0.998478234,-0.997996509,0.054543078,-0.032554053,-0.008142200
0.054730654,0.998451591,-0.997974396,0.055023313,-0.032435078,-0.008199783
0.054730654,0.998451591,-0.997974396,0.055023313,-0.032435078,-0.008199783
0.054052949,0.998486876,-0.998018146,0.054348767,-0.032219633,-0.008376209
0.054052949,0.998486876,-0.998018146,0.054348767,-0.032219633,-0.008376209
0.053398967,0.998520792,-0.998073161,0.053693950,-0.031599134,-0.008560930
0.053398967,0.998520792,-0.998073161,0.053693950,-0.031599134,-0.008560930
0.052338183,0.998574436,-0.998139679,0.052638650,-0.031276681,-0.008861792
0.050795853,0.998652339,-0.998223782,0.051100433,-0.031127958,-0.009067829
0.050795853,0.998652339,-0.998223782,0.051100433,-0.031127958,-0.009067829
0.048963547,0.998740673,-0.998325229,0.049275517,-0.030813998,-0.009446485
0.047550023,0.998803198,-0.998402655,0.047875226,-0.030517912,-0.010014286
0.045883536,0.998882532,-0.998473048,0.046208203,-0.030761350,-0.009928205
0.043975890,0.998968422,-0.998554409,0.044302940,-0.030908853,-0.009975346
0.041585803,0.999068022,-0.998658180,0.041920841,-0.030863887,-0.010288175
0.039063454,0.999165893,-0.998762846,0.039409161,-0.030773247,-0.010709084
0.036474586,0.999258995,-0.998864293,0.036832273,-0.030658938,-0.011183835
0.033093154,0.999374926,-0.998982131,0.033456862,-0.030656330,-0.011428781
0.029667556,0.999481738,-0.999091327,0.030034244,-0.030602463,-0.011593021
0.026153207,0.999581218,-0.999194264,0.026516676,-0.030447021,-0.011595513
0.022747815,0.999662101,-0.999276102,0.023119271,-0.030493323,-0.011885243
0.019396484,0.999728382,-0.999342263,0.019781709,-0.030639406,-0.012319189
0.015900612,0.999788582,-0.999405444,0.016290963,-0.030596007,-0.012552367
0.012153983,0.999838114,-0.999455333,0.012554467,-0.030682892,-0.012893796
0.007906199,0.999874890,-0.999487221,0.008326888,-0.031029720,-0.013452961
