f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
0.025420,-0.011310,-0.117605,0.004025,0.019735,-0.021415,0.064055,-0.011405,-0.108620,0.019225,-0.069610,-0.034560,0.016910,0.028665,-0.058465,0.184330,-0.039810,0.055934,0.034840,-0.039635,0.100650,-0.013330,0.007820,0.094545,-0.053395,-0.124405,0.011025,0.000000,0.000000
0.026545,-0.008995,-0.114710,0.003730,0.015435,-0.026800,0.065610,-0.010590,-0.107040,0.017205,-0.063090,-0.025225,0.031845,-0.016740,-0.029895,0.105891,-0.050813,0.140104,-0.018830,-0.019495,0.072205,-0.013400,0.042289,0.085029,-0.003495,-0.080280,0.028855,0.000000,0.000000
0.030880,-0.007540,-0.111165,0.003555,0.013875,-0.035460,0.070690,-0.009390,-0.104770,0.013230,-0.057450,-0.021615,0.031370,-0.051670,-0.015125,0.020046,-0.028872,0.157051,-0.024820,-0.010505,0.048250,-0.016825,0.079705,0.078717,0.051285,-0.011115,0.027440,0.000000,0.000000
0.034550,-0.007375,-0.106870,0.003185,0.016825,-0.041045,0.077765,-0.007835,-0.103300,0.002090,-0.050376,-0.022745,0.025040,-0.059965,-0.004450,-0.040530,-0.003329,0.107615,0.036245,-0.019870,0.030470,-0.019110,0.096311,0.071734,0.086960,0.030560,0.000740,0.000000,0.000000
0.024780,-0.005115,-0.097990,0.002340,0.018955,-0.038570,0.070170,-0.006800,-0.103519,-0.007820,-0.041825,-0.018635,0.023965,-0.040975,0.008920,-0.084520,-0.027293,0.065015,0.027995,-0.015285,0.015945,-0.015555,0.078100,0.029898,0.066865,0.012685,-0.021730,0.000000,0.000000
0.011575,-0.004240,-0.092595,0.001200,0.021650,-0.033055,0.058855,-0.007170,-0.105434,-0.014650,-0.034835,-0.014565,0.014745,-0.005530,0.015005,-0.089494,-0.062770,0.023695,-0.018825,-0.005165,0.000175,-0.014585,0.064730,-0.014159,0.016940,-0.034275,-0.034270,0.000000,0.000000
0.006405,-0.008030,-0.097030,-0.000540,0.026430,-0.030765,0.055350,-0.009505,-0.108020,-0.016375,-0.032549,-0.016090,0.009700,0.019360,0.013025,-0.072256,-0.062209,-0.024680,-0.057490,0.000220,-0.022280,-0.012630,0.053945,-0.021413,-0.021110,-0.084024,-0.037270,0.000000,0.000000
-0.002075,-0.012180,-0.099635,-0.002055,0.027780,-0.030180,0.040330,-0.013650,-0.106850,-0.002670,-0.038245,-0.023120,0.004095,0.042735,0.005930,-0.051086,-0.033632,-0.043775,-0.015605,0.001925,-0.034205,-0.010935,0.054110,-0.014937,-0.052795,-0.117245,-0.032060,0.000000,0.000000
-0.012560,-0.014980,-0.097485,-0.002930,0.024979,-0.029540,0.017160,-0.018150,-0.101345,0.020815,-0.048415,-0.031075,-0.004270,0.067145,-0.002604,-0.019799,-0.007817,-0.040270,0.070275,0.006530,-0.036515,-0.013960,0.060705,-0.010547,-0.068945,-0.124665,-0.021490,0.000000,0.000000
-0.012060,-0.017735,-0.094820,-0.004020,0.021675,-0.024440,0.008080,-0.021160,-0.094145,0.037955,-0.054575,-0.028930,-0.020965,0.079295,-0.022230,0.060610,-0.028288,-0.070185,0.008995,0.035555,-0.053195,-0.027860,0.069315,-0.022301,-0.064030,-0.108625,-0.007005,0.000000,0.000000
