f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.444285,0.415863,0.084191,0.567173,-0.065951,-0.114685,0.070113,0.258149,-0.188258,0.117526,-0.182977,-0.124001,-0.092382,0.005062,0.124696,-0.452028,1.022218,0.161187,0.137233,-0.053583,0.100031,-0.155132,0.332104,1.065522,-0.026223,-0.056341,-0.128136,0.000000,0.000000
-0.444299,0.416130,0.084173,0.567087,-0.066018,-0.114948,0.070015,0.258341,-0.188284,0.117509,-0.182921,-0.124086,-0.091642,0.005420,0.124390,-0.451252,1.021575,0.161198,0.137333,-0.053605,0.100196,-0.155210,0.332710,1.065621,-0.025921,-0.056316,-0.128121,0.000000,0.000000
-0.444189,0.416307,0.084181,0.567144,-0.066176,-0.114932,0.070145,0.258537,-0.188028,0.117500,-0.183050,-0.123791,-0.090759,0.005607,0.124265,-0.450815,1.021371,0.161418,0.137070,-0.053783,0.100422,-0.155220,0.332979,1.065367,-0.025484,-0.055528,-0.128584,0.000000,0.000000
-0.444235,0.416426,0.084043,0.567273,-0.066363,-0.114823,0.070175,0.258702,-0.187937,0.117504,-0.183084,-0.123622,-0.090183,0.005740,0.124050,-0.449993,1.021354,0.161933,0.137504,-0.053942,0.100527,-0.155219,0.333595,1.065032,-0.025675,-0.055576,-0.128649,0.000000,0.000000
-0.444399,0.416542,0.083784,0.567453,-0.066575,-0.114761,0.070152,0.258885,-0.187969,0.117481,-0.183037,-0.123558,-0.089839,0.005775,0.123759,-0.449135,1.021449,0.162572,0.138168,-0.054038,0.100338,-0.155220,0.334382,1.064877,-0.026140,-0.056069,-0.128460,0.000000,0.000000
-0.444594,0.416900,0.083519,0.567684,-0.066844,-0.115190,0.070075,0.259236,-0.187928,0.117490,-0.182972,-0.123527,-0.089438,0.005774,0.123574,-0.448681,1.021226,0.162838,0.138126,-0.053935,0.099876,-0.155227,0.334990,1.065053,-0.025692,-0.055788,-0.128485,0.000000,0.000000
-0.444691,0.417263,0.083247,0.568002,-0.067135,-0.115471,0.070206,0.259590,-0.188007,0.117469,-0.182984,-0.123618,-0.089290,0.005769,0.123370,-0.448250,1.021058,0.162939,0.138035,-0.053892,0.099362,-0.155242,0.335778,1.065321,-0.025519,-0.055597,-0.128655,0.000000,0.000000
-0.444630,0.417538,0.082961,0.568440,-0.067442,-0.115358,0.070617,0.259879,-0.188305,0.117461,-0.183144,-0.123870,-0.089093,0.005639,0.123247,-0.448215,1.021080,0.162907,0.137979,-0.054011,0.099170,-0.155251,0.336292,1.065342,-0.025960,-0.055949,-0.128993,0.000000,0.000000
-0.444646,0.417808,0.082579,0.568819,-0.067837,-0.115350,0.070876,0.260191,-0.188474,0.117459,-0.183242,-0.124176,-0.088760,0.005582,0.123173,-0.448096,1.020952,0.163073,0.138098,-0.053787,0.099011,-0.155258,0.336548,1.065279,-0.026019,-0.056178,-0.129091,0.000000,0.000000
-0.444651,0.418026,0.082159,0.569157,-0.068254,-0.115421,0.071086,0.260481,-0.188561,0.117471,-0.183327,-0.124480,-0.088495,0.005664,0.123109,-0.447727,1.020655,0.163261,0.138323,-0.053316,0.098816,-0.155265,0.336749,1.065215,-0.025783,-0.056195,-0.129049,0.000000,0.000000
